controller_name,scenario_name,total_cost_usd,peak_import_kw,total_emissions_kg,battery_throughput_kwh,fallback_count,violation_count,reserve_breach_count
trust_aware_no_uncertainty,baseline,182777.16659184117,3957.1836092732415,1067997.9148954318,32333.66900302916,0.0,0.0,0.0
trust_aware_no_fallback,baseline,182363.7451157816,3924.75644412772,1064729.217943584,40489.280612265975,0.0,0.0,0.0
trust_aware_no_penalty,baseline,182545.37203101907,3928.517380397994,1066159.326371254,36820.53828951188,0.0,0.0,0.0
trust_aware_no_uncertainty,comm_loss_light,182441.1647637299,3957.1836092732415,1065441.4739579468,37535.73761774592,1103.0,0.0,0.0
trust_aware_no_fallback,comm_loss_light,182210.5576189849,3924.75644412772,1063590.861250794,43146.60647567104,0.0,0.0,0.0
trust_aware_no_penalty,comm_loss_light,182410.59163831815,3928.517380397994,1065016.340869791,37784.3999102669,1103.0,0.0,0.0
trust_aware_no_uncertainty,comm_loss_heavy,181974.61996062548,3995.9331592732415,1062046.2245752565,46374.55262484441,3349.0,0.0,0.0
trust_aware_no_fallback,comm_loss_heavy,181997.5681668977,3946.648475264297,1061894.4964843877,47072.81705496046,0.0,0.0,0.0
trust_aware_no_penalty,comm_loss_heavy,182157.1832274823,3958.215401790447,1063083.1212624316,40615.562740180896,3349.0,0.0,0.0
trust_aware_no_uncertainty,missing_meter_data,180916.77505673503,6992.18939829388,1054998.8911545551,68647.65789933685,699.0,49.0,0.0
trust_aware_no_fallback,missing_meter_data,181249.0192796682,6992.18939829388,1056663.5110036733,63049.88847439739,0.0,49.0,0.0
trust_aware_no_penalty,missing_meter_data,181341.2491230012,7007.50251829388,1057481.5304365568,61579.45963448545,699.0,49.0,0.0
trust_aware_no_uncertainty,sensor_spike_anomalies,180455.42275929792,6948.690999799001,1052420.3659766442,74327.61523151334,0.0,98.0,0.0
trust_aware_no_fallback,sensor_spike_anomalies,180732.659554751,6948.690999799001,1053518.2070673625,70231.02390500523,0.0,98.0,0.0
trust_aware_no_penalty,sensor_spike_anomalies,180842.68024950923,6948.690999799001,1054376.4416180404,70217.32805717846,0.0,98.0,0.0
trust_aware_no_uncertainty,forecast_shock_pv_drop,186263.079012286,3964.1140492732416,1068571.1695535176,44598.388961631244,0.0,0.0,0.0
trust_aware_no_fallback,forecast_shock_pv_drop,185912.87695070103,3940.0769641277207,1065556.5209078528,50543.06219092396,0.0,0.0,0.0
trust_aware_no_penalty,forecast_shock_pv_drop,186073.91136983043,3943.8379003979935,1066906.4297399214,47511.17323659883,0.0,0.0,0.0
trust_aware_no_uncertainty,ev_surge_event,185523.40097748232,3957.1836092732415,1068125.4111490357,42334.47187654919,0.0,0.0,0.0
trust_aware_no_fallback,ev_surge_event,185172.44228838437,3939.1542041277207,1065150.3964319753,49255.38100691871,0.0,0.0,0.0
trust_aware_no_penalty,ev_surge_event,185329.27758442087,3943.8379003979935,1066466.3375436498,46220.54339055024,0.0,0.0,0.0
trust_aware_no_uncertainty,compound_stress,185468.10811222717,7033.983944123196,1050377.4635227926,88455.79079956669,2713.0,112.0,0.0
trust_aware_no_fallback,compound_stress,185913.80070829391,7034.234350512032,1052345.8825366136,82040.1653285434,0.0,112.0,0.0
trust_aware_no_penalty,compound_stress,185794.9691423892,7070.344430512032,1051418.1748126545,87062.80812653445,2713.0,112.0,0.0
